8,166667	10,4
8,766666	10,1
9,333333	9,4
9,4	8,5
9,433333	7,9
9,533334	7,4
9,666667	7,4
9,833333	7,3
9,633333	7,2
9,8	7,3
9,9	7,2
9,933333	7,0
10,1	7,0
9,95	7,2
9,5666665	7,0
9,6000015	6,8
9,649998	6,6
9,8	6,3
9,75	6,0
9,6500005	5,8
9,4	5,7
9,066667	5,5
8,666667	5,5
8,2	5,3
7,8	5,2
7,5	5,2
7,2	5,2
6,966667	5,4
6,733333	5,3
6,6	5,3
6,5	5,7
6,4	6,1
6,1	6,6
6,15	6,8
6,9333335	6,9
7,6	7,1
7,7	7,4
7,8333335	7,6
8,0666665	7,6
8,2	7,4
7,933333	7,1
8,366667	7,1
8,866667	6,8
9,333333	6,6
9,666667	6,6
9,8	6,2
9,8	6,0
9,733334	5,6
9,666667	5,5
9,6	5,7
9,666667	5,7
9,8	5,6
9,866667	5,5
9,666667	5,5
9,433333	5,3
9,3	5,3
9,533334	5,2
9,7	5,0
9,6	4,9
9,333333	4,7
9,433333	4,6
9,4666665	4,4
9,3333335	4,5
9,1	4,4
8,8999995	4,3
8,7666665	4,3
8,2999995	4,2
8	4,1
7,6166665	4,0
7,4	3,9
7,4	4,0
7,2	3,9
6,866667	4,2
7,0833335	4,4
7,0666665	4,8
7,716667	5,5
7,75	5,7
7,85	5,8
8,05	5,7
8,2166665	5,9
8,2	5,9
8,2666665	6,1
8,2666665	6,1
8,2833335	5,8
8,366667	5,7
7,8833335	5,6
8,3333335	5,4
8,266667	5,4
8,433333	5,3
8,4333335	5,1
8,35	5,0
8,2666665	5,0
8,266667	4,7
8,1333335	4,6
7,75	4,6
7,633333	4,4
7,4666665	4,5
7,416667	4,5
6,9333335	4,7
6,8333335	4,8
6,7333335	5,0
6,7166665	5,3
7,25	6,0
7	6,9
7,616667	8,3
7,9166665	9,3
8,166667	9,6
8,3833335	9,9
8,5500005	9,8
8,4666665	9,6
8,35	9,5
8,1500005	9,5
7,966667	9,0
7,9	9,1
8,1333335	9,0
8,4	8,6
8,566667	8,3
8,7	8,2
8,8333335	8,0
9,183333	7,8
9,366665	7,7
9,4	7,5
9,383333	7,2
9,366667	6,9
9,4333315	6,7
9,4	6,2
9,55	6,1
9,716665	5,7
9,7500015	5,5
9,7	5,4
9,5166665	5,1
9,3999995	5,0
9,0166665	4,9
8,9	4,9
8,5	4,9
8,1333335	4,8
8,233333	4,6
7,9666665	4,4
7,7666665	4,3
7,283333	4,1
6,85	4,1
6,65	3,9
6,2666665	3,8
6,2	3,8
5,566667	3,9
